redshift,lum_dist
8.950000000000001,91519.56962862228
8.96,91636.31456549007
8.97,91753.07201329272
8.98,91869.84195299332
8.99,91986.62436560371
9.0,92103.41923218415
9.01,92220.22653384325
9.02,92337.04625173766
9.03,92453.8783670721
9.040000000000001,92570.72286109904
9.05,92687.5797151185
9.06,92804.44891047796
9.07,92921.33042857224
9.08,93038.22425084324
9.09,93155.13035877973
9.1,93272.04873391728
9.11,93388.97935783809
9.120000000000001,93505.92221217077
9.13,93622.8772785902
9.14,93739.84453881733
9.15,93856.8239746191
9.16,93973.81556780818
9.17,94090.8193002429
9.18,94207.83515382698
9.19,94324.86311050951
9.200000000000001,94441.90315228468
9.21,94558.95526119159
9.22,94676.01941931424
9.23,94793.09560878118
9.24,94910.18381176563
9.25,95027.28401048497
9.26,95144.39618720084
9.27,95261.52032421895
9.28,95378.65640388879
9.290000000000001,95495.80440860373
9.3,95612.96432080049
9.31,95730.13612295939
9.32,95847.31979760391
9.33,95964.51532730072
9.34,96081.72269465939
9.35,96198.94188233234
9.36,96316.17287301466
9.370000000000001,96433.41564944395
9.38,96550.67019440015
9.39,96667.93649070544
9.4,96785.21452122413
9.41,96902.50426886238
9.42,97019.80571656818
9.43,97137.11884733113
9.44,97254.44364418244
9.450000000000001,97371.7800901945
9.46,97489.12816848104
9.47,97606.48786219684
9.48,97723.85915453758
9.49,97841.24202873974
9.5,97958.63646808045
9.51,98076.04245587741
9.52,98193.45997548861
9.53,98310.88901031227
9.540000000000001,98428.32954378684
9.55,98545.78155939053
9.56,98663.24504064153
9.57,98780.71997109773
9.58,98898.20633435638
9.59,99015.7041140544
9.6,99133.21329386787
9.61,99250.73385751196
9.620000000000001,99368.26578874106
9.63,99485.80907134822
9.64,99603.36368916537
9.65,99720.92962606312
9.66,99838.50686595042
9.67,99956.09539277473
9.68,100073.69519052166
9.69,100191.30624321499
9.700000000000001,100308.92853491643
9.71,100426.5620497256
9.72,100544.20677177975
9.73,100661.86268525384
9.74,100779.52977436029
9.75,100897.20802334874
9.76,101014.89741650625
9.77,101132.59793815685
9.78,101250.30957266157
9.790000000000001,101368.03230441835
9.8,101485.76611786177
9.81,101603.51099746312
9.82,101721.26692773004
9.83,101839.03389320671
9.84,101956.81187847345
9.85,102074.60086814669
9.86,102192.40084687897
9.870000000000001,102310.21179935864
9.88,102428.03371030981
9.89,102545.86656449224
9.9,102663.71034670132
9.91,102781.56504176777
9.92,102899.43063455759
9.93,103017.30710997207
9.94,103135.19445294749
9.950000000000001,103253.09264845512
9.96,103371.00168150106
9.97,103488.92153712607
9.98,103606.85220040564
9.99,103724.79365644969
10.0,103842.74589040263
10.01,103960.70888744295
10.02,104078.68263278349
10.03,104196.66711167106
10.040000000000001,104314.66230938643
10.05,104432.6682112442
10.06,104550.68480259269
10.07,104668.71206881388
10.08,104786.74999532313
10.09,104904.79856756938
10.1,105022.85777103467
10.11,105140.9275912344
10.120000000000001,105259.00801371694
10.13,105377.09902406362
10.14,105495.20060788868
10.15,105613.3127508391
10.16,105731.43543859452
10.17,105849.5686568671
10.18,105967.71239140147
10.19,106085.86662797461
10.200000000000001,106204.03135239573
10.21,106322.2065505061
10.22,106440.39220817914
10.23,106558.58831132007
10.24,106676.79484586608
10.25,106795.01179778596
10.26,106913.23915308024
10.27,107031.47689778083
10.28,107149.72501795119
10.290000000000001,107267.98349968606
10.3,107386.25232911138
10.31,107504.53149238424
10.32,107622.82097569271
10.33,107741.12076525594
10.34,107859.43084732372
10.35,107977.7512081767
10.36,108096.08183412613
10.370000000000001,108214.42271151379
10.38,108332.7738267119
10.39,108451.13516612307
10.4,108569.50671618016
10.41,108687.88846334611
10.42,108806.28039411403
10.43,108924.68249500697
10.44,109043.09475257779
10.450000000000001,109161.51715340927
10.46,109279.94968411373
10.47,109398.39233133319
10.48,109516.84508173913
10.49,109635.30792203244
10.5,109753.78083894342
10.51,109872.26381923148
10.52,109990.75684968523
10.53,110109.25991712236
10.540000000000001,110227.77300838949
10.55,110346.29611036203
10.56,110464.82920994432
10.57,110583.37229406936
10.58,110701.92534969862
10.59,110820.48836382227
10.6,110939.06132345877
10.61,111057.644215655
10.620000000000001,111176.23702748609
10.63,111294.83974605528
10.64,111413.45235849392
10.65,111532.07485196137
10.66,111650.70721364493
10.67,111769.34943075963
10.68,111888.00149054834
10.69,112006.66338028146
10.700000000000001,112125.33508725715
10.71,112244.0165988008
10.72,112362.70790226542
10.73,112481.40898503126
10.74,112600.11983450576
10.75,112718.84043812359
10.76,112837.57078334643
10.77,112956.310857663
10.78,113075.06064858881
10.790000000000001,113193.82014366641
10.8,113312.58933046486
10.81,113431.36819658002
10.82,113550.15672963428
10.83,113668.95491727654
10.84,113787.76274718215
10.85,113906.58020705276
10.86,114025.40728461627
10.870000000000001,114144.2439676269
10.88,114263.09024386478
10.89,114381.94610113614
10.9,114500.81152727321
10.91,114619.68651013408
10.92,114738.57103760254
10.93,114857.46509758823
10.94,114976.36867802632
10.950000000000001,115095.28176687761
10.96,115214.2043521283
10.97,115333.13642179011
10.98,115452.07796390008
10.99,115571.0289665204
11.0,115689.98941773857
11.01,115808.95930566713
11.02,115927.93861844367
